pitch_type,batter,pitcher,zone,stand,p_throws,type,estimated_woba_using_speedangle
SI,621035,676680,6,R,L,X,0.262
ST,543939,676680,4,L,L,X,0.191
SI,500743,607259,5,R,R,X,0.121
CH,681546,607259,13,L,R,X,0.393
FF,642708,607259,6,R,R,X,0.229
SL,665487,523260,6,R,R,X,0.743
CH,605141,605483,6,R,L,X,0.017
FF,595777,686752,11,L,R,X,0.08
CH,665742,686752,13,L,R,X,0.268
FF,500743,605483,4,R,L,X,0.151
SL,681546,605483,4,L,L,X,0.398
FF,665487,686752,1,R,R,X,0.005
CH,571771,605483,3,R,L,X,0.003
FF,663757,686752,1,L,R,X,0.042
FF,643265,686752,2,R,R,X,0.099
FF,595777,686752,6,L,R,X,0.288
FF,665742,686752,5,L,R,X,0.861
FF,665487,686752,4,R,R,X,0.605
CU,518692,605483,4,L,L,X,0.071
SL,673490,686752,4,R,R,X,0.008
CH,571771,605483,8,R,L,X,0.077
CH,663757,686752,13,L,R,X,0.003
SL,595777,686752,6,L,R,X,0.005
FF,502110,605483,4,R,L,X,0.096
CH,621035,605483,9,R,L,X,0.263
CU,518692,605483,13,L,L,X,0.117
CH,605141,605483,14,R,L,X,0.167
FF,665742,686752,5,L,R,X,1.759
SL,650391,672578,14,R,R,X,0.033
FF,673357,672578,1,R,R,X,0.256
FF,683734,672578,4,R,R,X,0.566
SL,677951,656629,4,R,R,X,0.082
CH,462101,672582,8,R,L,X,0.124
SI,658668,607481,7,R,L,X,0.27
SI,650391,676092,4,R,R,X,0.411
ST,673357,676092,9,R,R,X,0.216
SI,683734,676092,11,R,R,X,0.095
FC,660162,676092,4,L,R,X,0.228
CU,677951,665620,13,R,R,X,0.471
CU,672580,665620,13,R,R,X,0.563
CH,664728,665620,8,L,R,X,0.289
SL,657757,664199,9,L,R,X,0.699
ST,650391,543475,6,R,R,X,0.591
SI,673357,543475,13,R,R,X,0.606
SI,683734,543475,7,R,R,X,0.829
FF,660162,543475,12,L,R,X,0.391
SL,622110,621383,6,R,L,X,0.222
CH,658668,621383,6,R,L,X,0.086
SL,686681,621383,13,L,L,X,0.24
FC,657757,543475,3,L,R,X,0.025
FF,518735,543475,1,L,R,X,0.021
CU,650391,543475,7,R,R,X,1.239
FF,677951,621383,2,R,L,X,0.008
SI,673357,543475,8,R,R,X,0.277
FF,664728,672715,3,L,R,X,0.065
SL,622110,672715,8,R,R,X,0.556
SI,657757,543475,3,L,R,X,0.003
SL,521692,672715,5,R,R,X,0.846
SI,672580,672715,4,R,R,X,0.228
SI,664728,672715,5,L,R,X,0.934
FF,518735,543475,1,L,R,X,0.598
SI,650391,543475,13,R,R,X,0.834
FF,658668,672715,8,R,R,X,0.003
SI,686681,657053,4,L,R,X,1.931
SI,521692,657053,4,R,R,X,0.156
SI,672580,657053,13,R,R,X,0.604
SI,673357,543475,8,R,R,X,0.614
ST,683734,543475,6,R,R,X,0.003
FS,664728,657053,13,L,R,X,0.827
SI,622110,657053,6,R,R,X,0.012
FS,677951,657053,4,R,R,X,0.654
SI,672580,657053,13,R,R,X,0.901
SI,657077,605280,5,L,R,X,0.116
SI,671213,593974,6,L,L,X,0.53
SI,646240,593974,12,L,L,X,0.003
ST,643396,670167,3,R,R,X,0.341
ST,519317,670167,6,R,R,X,0.412
FF,650402,670167,11,R,R,X,0.003
SL,518934,661440,5,R,R,X,0.0
SI,543309,661440,6,R,R,X,0.4
CH,457759,666745,8,R,R,X,0.447
SI,683011,661440,9,R,R,X,0.089
FF,650402,601713,5,R,R,X,0.201
FF,592450,601713,5,R,R,X,0.023
ST,518934,601713,3,R,R,X,0.825
FF,543309,601713,4,R,R,X,0.299
FF,646240,666745,11,L,R,X,0.336
CH,657077,666745,8,L,R,X,0.314
FF,643396,601713,1,R,R,X,0.135
CH,807799,681190,1,L,R,X,0.065
CH,671213,681190,5,L,R,X,0.102
FC,457759,681190,14,R,R,X,0.363
FC,646240,681190,9,L,R,X,1.744
FF,592450,601713,5,R,R,X,0.361
SI,657077,681190,6,L,R,X,0.453
FF,543309,601713,5,R,R,X,0.712
FF,671213,681190,6,L,R,X,0.545
FF,683011,601713,11,R,R,X,0.275
FF,457759,681190,2,R,R,X,0.142
SI,646240,681190,5,L,R,X,0.476
FF,657077,681190,5,L,R,X,0.519
FF,518934,601713,11,R,R,X,0.003
FF,623993,664854,6,L,R,X,0.006
FF,683002,664854,4,L,R,X,0.619
FF,668939,664854,14,L,R,X,0.656
FC,663457,608344,3,L,L,X,0.075
FC,691023,608344,1,R,L,X,0.18
FC,641933,608344,9,R,L,X,0.238
SI,543510,667463,8,R,L,X,0.195
SI,602104,667463,9,R,L,X,0.064
SI,668800,608344,12,R,L,X,0.007
CH,571448,608344,13,R,L,X,0.366
SI,669720,669461,11,R,L,X,0.004
FF,656775,669461,4,L,L,X,0.167
CH,623993,669461,6,R,L,X,1.113
SI,669242,672335,5,R,L,X,0.376
SI,663457,672335,3,L,L,X,0.359
FF,683002,669461,7,L,L,X,0.245
SL,668939,606149,5,L,R,X,0.168
FF,676059,606149,1,R,R,X,0.36
SI,668800,605347,4,R,R,X,0.134
SL,571448,605347,5,R,R,X,0.015
CU,669720,425794,8,R,R,X,0.138
CU,656811,425794,8,L,R,X,0.128
FF,623993,425794,1,L,R,X,0.728
SI,683002,425794,13,L,R,X,0.212
SL,669242,607644,5,R,L,X,0.146
SI,543510,425794,2,R,R,X,0.037
CU,676059,425794,8,R,R,X,0.397
CU,624428,425794,2,L,R,X,0.893
FC,669720,425794,9,R,R,X,0.364
CU,656775,425794,14,L,R,X,0.149
CH,691023,607644,14,R,L,X,0.264
FF,641933,607644,3,R,L,X,0.743
FF,575929,607644,5,R,L,X,0.045
FF,656811,425794,14,L,R,X,0.622
SI,623993,425794,5,L,R,X,0.202
SI,683002,425794,11,L,R,X,0.157
FC,668939,425794,6,L,R,X,0.003
SL,571448,607644,5,R,L,X,0.021
CH,502671,607644,6,R,L,X,0.712
FF,669242,607644,5,R,L,X,0.009
SI,543510,425794,9,R,R,X,0.054
FC,676059,425794,5,R,R,X,0.615
FC,624428,425794,2,L,R,X,0.137
CU,669720,425794,6,R,R,X,0.013
FF,663457,607644,1,L,L,X,0.113
CH,691023,607644,12,R,L,X,0.003
SV,669357,607644,13,L,L,X,0.048
CH,641933,607644,14,R,L,X,0.517
CH,575929,607644,14,R,L,X,0.793
FC,656775,425794,14,L,R,X,0.0
CU,656811,425794,6,L,R,X,0.269
CH,571448,607644,5,R,L,X,0.003
FF,502671,607644,12,R,L,X,1.501
CH,669242,607644,9,R,L,X,0.063
FF,663457,607644,2,L,L,X,0.102
SI,545121,621366,6,R,L,X,0.111
ST,660688,621366,14,R,L,X,0.448
CH,641943,600921,9,L,R,X,0.266
SI,657041,670059,5,R,R,X,0.451
FF,656582,686294,12,R,R,X,0.497
FF,663647,686294,12,R,R,X,0.469
FF,678225,686294,1,L,R,X,0.729
FC,642086,669387,8,L,R,X,0.868
FC,545121,669387,6,L,R,X,0.775
FF,608841,669387,8,R,R,X,0.114
FF,641943,686294,1,L,R,X,0.561
FF,656582,686294,2,R,R,X,0.014
SL,657041,663559,1,R,L,X,0.025
CH,668804,676395,14,R,L,X,0.045
SL,678225,676395,13,L,L,X,0.183
FF,641943,672851,5,L,R,X,0.776
CU,642086,663559,13,L,L,X,0.05
FF,656582,672851,3,R,R,X,0.566
SI,663647,672851,4,R,R,X,0.83
CU,545121,663559,8,R,L,X,0.943
CU,608841,663559,7,R,L,X,0.875
CU,660688,663559,4,R,L,X,0.104
SL,657041,663559,1,R,L,X,1.224
CU,682928,663559,7,L,L,X,0.405
FF,669261,672851,6,L,R,X,0.139
FF,669743,663559,3,R,L,X,0.061
CH,668804,672851,7,L,R,X,0.336
CH,678225,672851,7,L,R,X,0.154
SI,641943,672851,8,L,R,X,1.577
CU,545121,663559,4,R,L,X,0.082
FF,608841,663559,5,R,L,X,0.366
CU,656582,672851,2,R,R,X,0.196
CU,669261,672851,8,L,R,X,0.73
SL,663647,672851,9,R,R,X,0.693
CH,668804,672851,5,L,R,X,0.161
CU,678225,672851,9,L,R,X,0.11
CU,660688,663559,9,R,L,X,0.476
FF,657041,663559,1,R,L,X,0.137
FF,682928,663559,8,L,L,X,0.77
SL,543063,661403,6,L,R,X,0.139
SL,666165,661403,9,L,R,X,1.53
SL,571745,661403,6,R,R,X,0.521
SL,686823,605154,5,L,R,X,0.0
FS,664774,663986,1,L,R,X,0.743
FF,592626,663986,11,L,R,X,0.011
FS,527038,663986,6,R,R,X,0.816
FS,642731,663986,13,R,R,X,0.086
SI,647304,518397,3,L,L,X,0.008
SL,682641,625643,6,R,R,X,0.549
CH,543063,625643,7,L,R,X,0.037
SI,608070,518397,5,R,L,X,0.129
SI,680757,518397,12,L,L,X,0.111
SI,664702,676254,5,R,R,X,0.405
FS,571745,615698,5,R,R,X,0.022
FF,664774,615698,5,L,R,X,0.825
FS,592626,615698,4,L,R,X,0.433
SI,686823,676254,4,L,R,X,0.078
SI,647304,640455,12,L,L,X,0.196
SL,608070,640455,7,R,L,X,0.846
SL,680757,640455,13,L,L,X,0.217
SI,642731,615698,11,R,R,X,0.157
FS,573262,615698,13,L,R,X,0.181
FC,682641,615698,11,R,R,X,0.643
FC,666165,615698,9,L,R,X,1.841
SI,664702,640455,4,R,L,X,0.11
SL,686823,640455,7,L,L,X,0.072
FS,664774,615698,13,L,R,X,0.149
FC,527038,615698,5,R,R,X,0.09
SI,642731,615698,11,R,R,X,0.185
FS,573262,615698,13,L,R,X,0.18
FC,682641,615698,9,R,R,X,0.054
SI,543063,615698,5,L,R,X,0.92
SI,647304,640455,12,L,L,X,0.128
CH,608070,640455,4,R,L,X,0.136
FS,666165,615698,4,L,R,X,0.05
SI,571745,615698,1,R,R,X,0.237
CH,664774,615698,5,L,R,X,0.264
SL,686823,640455,4,L,L,X,0.142
SI,527038,615698,1,R,R,X,0.263
FC,642731,615698,2,R,R,X,0.003
SI,647304,640455,11,L,L,X,0.15
SI,608070,640455,5,R,L,X,0.622
ST,681082,543272,5,L,L,X,0.046
FF,671739,518886,8,L,R,X,0.486
FF,606115,518886,5,R,R,X,0.038
FF,592696,518886,2,L,R,X,0.434
FF,518595,518886,6,R,R,X,0.057
FF,592206,628452,4,R,R,X,0.17
FF,547180,628452,3,L,R,X,0.861
SL,664761,628452,14,R,R,X,0.604
FF,607208,628452,5,R,R,X,0.648
SI,645277,621237,12,R,L,X,0.003
FF,681082,641729,5,L,R,X,1.128
FF,592206,641729,8,R,R,X,0.65
SL,592663,641729,8,R,R,X,0.619
FF,547180,641729,2,L,R,X,1.92
SI,660670,628708,13,R,R,X,0.078
SI,671739,628708,7,L,R,X,0.249
SL,592696,628708,14,L,R,X,0.028
FF,607208,543859,6,R,R,X,0.58
SI,542303,628708,4,R,R,X,0.676
FF,621566,622554,6,L,R,X,0.461
SL,663586,622554,5,R,R,X,0.173
CH,645277,622554,4,L,R,X,0.545
FF,681082,543859,11,L,R,X,0.094
FF,592206,543859,4,R,R,X,0.201
FF,592663,543859,5,R,R,X,0.036
FF,671739,622554,6,L,R,X,0.489
SL,606115,622554,3,R,R,X,0.121
SI,624641,608331,4,R,L,X,0.065
FF,592696,554430,2,L,R,X,0.105
ST,518595,554430,9,R,R,X,0.003
SI,542303,554430,1,R,R,X,0.528
ST,663586,554430,9,R,R,X,0.347
CU,645277,554430,14,L,R,X,0.048
CU,660670,554430,7,R,R,X,1.819
FF,671739,554430,1,L,R,X,0.911
CH,592206,608331,9,R,L,X,0.137
FF,592663,608331,5,R,L,X,0.407
FF,664761,608331,7,R,L,X,0.094
CH,607208,608331,9,R,L,X,0.645
SI,606115,554430,13,R,R,X,0.063
CU,592696,554430,14,L,R,X,0.837
FF,518595,554430,2,R,R,X,0.01
FF,621566,554430,7,L,R,X,0.345
FC,645277,554430,9,L,R,X,0.075
SI,660670,554430,7,R,R,X,0.409
FF,592206,608331,6,R,L,X,0.721
FF,547180,608331,5,L,L,X,0.132
FF,592696,554430,12,L,R,X,0.606
SI,518595,554430,1,R,R,X,0.409
SI,542303,554430,13,R,R,X,0.051
CH,664761,608331,9,R,L,X,0.41
SI,607208,608331,14,R,L,X,0.079
FF,621566,554430,12,L,R,X,0.107
FF,660670,554430,2,R,R,X,0.021
CH,668731,571656,7,L,R,X,0.14
FF,679529,571656,14,R,R,X,0.328
KC,682829,656638,13,L,R,X,0.07
KC,663886,656638,4,R,R,X,0.922
SL,628451,664747,14,R,R,X,0.204
FF,663837,664747,11,R,R,X,0.008
SI,668715,671345,11,R,R,X,0.054
SI,666181,671345,5,L,R,X,0.791
FF,656716,664139,9,L,R,X,0.368
FF,668670,664139,9,R,R,X,0.224
SI,663697,671345,5,R,R,X,0.236
SI,670770,663947,6,L,L,X,0.195
CH,664056,663947,6,R,L,X,0.0
ST,679529,608371,4,R,R,X,0.025
ST,628451,608371,4,R,R,X,0.023
ST,663837,608371,5,R,R,X,1.285
CH,682829,663947,9,R,L,X,0.012
FC,663886,663947,5,R,L,X,1.179
FC,595879,650960,6,R,R,X,0.059
FS,681481,518585,13,L,R,X,0.916
FF,668670,518585,8,R,R,X,0.134
FF,679529,518585,3,R,R,X,0.279
FF,628451,682227,1,R,L,X,0.922
CH,670770,689225,5,L,R,X,0.145
SI,664056,689225,13,R,R,X,0.741
FF,595879,682227,7,R,L,X,0.396
FC,670097,682227,5,R,L,X,0.216
SL,663886,689225,5,R,R,X,0.133
ST,681481,682227,5,L,L,X,0.279
FF,664056,666214,3,R,L,X,0.441
FC,682829,666214,8,R,L,X,0.532
CU,663886,666214,9,R,L,X,0.026
CH,592669,666214,9,R,L,X,0.032
CH,679529,682227,6,R,L,X,0.057
CH,663837,682227,3,R,L,X,0.715
CH,668715,666214,13,R,L,X,0.438
FF,669222,666214,7,R,L,X,0.634
FF,663697,666214,6,R,L,X,0.672
FF,670770,666214,5,L,L,X,0.583
CU,664056,666214,8,R,L,X,0.062
CU,663886,666214,7,R,L,X,0.349
FF,595879,682227,1,R,L,X,0.006
CU,408234,682227,6,R,L,X,0.401
FF,681481,682227,11,L,L,X,0.302
FC,668670,682227,8,R,L,X,0.223
FC,679529,682227,4,R,L,X,0.598
CH,628451,682227,8,R,L,X,1.265
FF,668715,666214,7,R,L,X,0.17
CH,669222,666214,9,R,L,X,0.629
FF,663697,666214,8,R,L,X,0.028
SL,669289,547973,5,R,L,X,0.047
CH,641598,670950,7,R,R,X,0.004
FF,608671,670950,4,L,R,X,0.704
FF,543760,670950,6,R,R,X,0.2
SL,665489,608717,9,R,R,X,0.019
FF,666182,608717,13,R,R,X,0.261
FF,543807,608717,6,R,R,X,0.317
FS,663993,657024,8,L,R,X,0.336
FS,641680,657024,4,L,R,X,0.052
SL,641598,657024,6,R,R,X,0.235
SL,672386,608717,14,R,R,X,0.035
SL,669289,656271,5,R,L,X,0.589
FF,624415,656271,4,L,L,X,0.442
SL,608369,641835,5,L,L,X,0.914
SL,543760,554340,14,R,R,X,0.061
FF,665750,554340,4,L,R,X,0.365
SI,666182,600917,6,R,R,X,0.028
SL,543807,453286,14,R,R,X,0.064
FC,641680,547943,14,R,L,X,0.781
CU,641598,547943,5,R,L,X,0.53
CU,608369,547943,6,L,L,X,0.063
CU,595281,453286,5,L,R,X,0.005
CH,662139,453286,8,L,R,X,0.249
CH,543760,547943,9,R,L,X,0.033
FF,624415,453286,2,L,R,X,0.09
FF,665489,453286,9,R,R,X,0.175
CU,677649,547943,14,R,L,X,0.21
SI,641680,547943,12,R,L,X,0.409
CH,641598,547943,9,R,L,X,0.415
FC,543257,547943,4,R,L,X,0.81
FC,608369,547943,1,L,L,X,0.24
FF,666182,453286,5,R,R,X,0.132
FF,543807,453286,14,R,R,X,0.471
FC,543760,547943,12,R,L,X,0.042
FF,665750,547943,1,R,L,X,0.003
CU,595281,453286,7,L,R,X,0.096
FF,624415,453286,4,L,R,X,0.494
CU,677649,547943,8,R,L,X,0.549
FF,663993,547943,6,L,L,X,0.059
FC,641680,547943,1,R,L,X,0.238
FF,665489,453286,4,R,R,X,0.02
SL,666182,453286,9,R,R,X,0.391
FF,543807,453286,5,R,R,X,0.0
FF,641598,547943,1,R,L,X,0.003
FF,608369,547943,6,L,L,X,0.058
SI,543760,547943,12,R,L,X,0.003
SI,572233,493603,4,R,R,X,0.548
CH,606466,493603,13,L,R,X,0.111
FF,596019,543518,6,L,R,X,0.003
SL,607043,543518,8,L,R,X,0.787
FF,682626,543518,5,R,R,X,0.34
SI,682998,493603,13,L,R,X,0.266
CH,607054,656322,13,L,R,X,0.079
SI,666971,656322,5,R,R,X,0.536
FF,677950,656322,5,L,R,X,0.047
FS,683146,543518,8,L,R,X,0.416
SI,624413,612434,2,R,R,X,0.309
FF,502054,641360,4,R,R,X,0.119
FF,682998,641360,6,L,R,X,0.0
FF,672695,641360,2,L,R,X,0.072
FF,643446,612434,7,L,R,X,0.005
SI,666971,701643,6,R,R,X,0.116
ST,677950,701643,8,L,R,X,0.243
SI,502054,701643,1,R,R,X,0.448
FF,624413,669194,2,R,R,X,1.966
FF,643446,669194,1,L,R,X,0.042
FF,596019,669194,8,L,R,X,0.806
FF,607043,669194,12,L,R,X,0.409
FF,682998,676130,11,L,R,X,0.209
FF,672695,676130,2,L,R,X,0.008
FF,682626,669194,11,R,R,X,0.003
FF,607054,676130,12,L,R,X,0.278
FF,624413,669194,12,R,R,X,0.066
FF,643446,669194,3,L,R,X,0.043
FF,596019,669194,4,L,R,X,0.594
SL,607043,669194,14,L,R,X,0.343
SI,572233,676130,1,R,R,X,0.025
CH,606466,676130,7,L,R,X,0.787
FF,607054,676130,5,L,R,X,0.494
CH,572233,676130,8,R,R,X,0.268
FF,624413,669194,2,R,R,X,0.279
FF,643446,669194,2,L,R,X,0.053
CH,606466,676130,13,L,R,X,0.153
FF,682998,676130,2,L,R,X,0.316
FF,676801,543507,8,R,R,X,0.415
FF,663656,543507,2,L,R,X,0.362
SI,680869,669270,1,R,R,X,0.392
FF,643393,669270,1,L,R,X,0.054
SI,669397,669270,5,R,R,X,
SL,665161,666204,1,R,R,X,0.201
SI,672478,669270,8,R,R,X,0.242
SI,649557,669270,4,R,R,X,0.046
FC,669127,656786,4,R,L,X,0.054
ST,664913,656786,7,L,L,X,0.145
SI,455117,668674,13,R,R,X,0.116
SI,643289,668674,7,R,R,X,0.801
SL,680869,434378,9,R,R,X,0.447
FF,643393,434378,4,L,R,X,0.042
SL,669397,434378,2,R,R,X,0.037
CH,547989,676664,9,R,L,X,0.45
SL,663656,676664,7,L,L,X,0.039
FF,608324,676664,5,R,L,X,0.552
FF,672478,434378,9,R,R,X,1.858
CU,669127,434378,5,R,R,X,0.561
SL,665161,676664,8,R,L,X,0.897
SL,514888,676664,7,R,L,X,0.097
CH,455117,676664,8,R,L,X,0.034
FF,643289,676664,1,R,L,X,0.58
CU,680869,434378,14,R,R,X,0.424
SL,643393,434378,5,L,R,X,0.494
FF,676801,676664,5,R,L,X,0.041
CH,547989,676664,9,R,L,X,0.003
SL,663656,676664,8,L,L,X,0.079
FF,669397,434378,6,R,R,X,0.29
FF,672478,434378,2,R,R,X,0.013
SL,608324,676664,7,R,L,X,0.059
FF,665161,676664,2,R,L,X,1.019
CH,664913,434378,4,L,R,X,1.452
CH,680869,434378,5,R,R,X,0.638
SL,514888,676664,5,R,L,X,0.052
FF,643289,676664,3,R,L,X,0.198
FF,676801,676664,1,R,L,X,0.137
FF,643393,434378,2,L,R,X,0.014
CU,669397,434378,5,R,R,X,0.294
FF,672478,434378,5,R,R,X,0.005
SL,663656,676664,7,L,L,X,0.04
FF,670541,676664,5,L,L,X,0.196
SL,665161,676664,4,R,L,X,0.161
FF,514888,676664,1,R,L,X,0.321
FF,669127,434378,2,R,R,X,1.802
FF,676116,434378,6,L,R,X,1.368
SL,680869,434378,6,R,R,X,0.768
SL,643393,434378,6,L,R,X,0.004
FF,670764,661395,6,L,R,X,0.005
FS,670042,661395,13,L,R,X,0.09
FF,670623,661395,3,R,R,X,0.119
ST,621043,606965,9,R,R,X,0.065
SI,456781,552640,11,R,R,X,0.023
SI,543877,552640,5,R,R,X,0.479
ST,666139,573204,5,L,L,X,0.45
FF,664040,573204,8,L,L,X,0.434
ST,571657,641793,14,R,R,X,0.033
SL,650489,641793,14,L,R,X,1.566
SI,596146,641793,9,L,R,X,0.893
SL,456781,641793,12,R,R,X,0.19
SL,668904,641793,6,R,R,X,0.0
FS,666397,641793,4,L,R,X,0.06
SL,571657,641793,3,R,R,X,0.008
FS,650489,641793,4,L,R,X,0.01
FF,666139,686973,6,L,R,X,0.148
ST,668227,657746,14,R,R,X,0.905
FS,650490,657746,13,R,R,X,0.172
SL,621043,641793,6,R,R,X,0.142
SI,596146,641793,5,L,R,X,0.284
SL,456781,641793,8,R,R,X,0.0
FS,670764,657746,13,L,R,X,0.37
FF,670623,657746,3,R,R,X,0.92
FF,666139,657746,1,L,R,X,0.636
ST,668227,657746,12,R,R,X,0.11
FS,664040,657746,8,L,R,X,0.679
ST,668904,641793,14,R,R,X,0.068
FF,666397,641793,8,L,R,X,1.752
SI,571657,641793,5,R,R,X,0.14
FF,650490,657746,5,R,R,X,0.444
SL,621043,641793,2,R,R,X,0.18
FF,596146,641793,2,L,R,X,0.008
FS,670042,657746,11,L,R,X,0.342
FF,666397,641793,6,L,R,X,0.801
FF,666139,657746,11,L,R,X,0.105
FF,668227,657746,6,R,R,X,0.008
SI,671213,598286,5,L,L,X,0.145
ST,457759,598286,9,R,L,X,0.003
ST,650402,687798,6,R,R,X,0.053
SI,622569,621199,4,R,R,X,0.177
FF,643396,455119,5,R,R,X,0.323
FC,457759,664948,1,R,L,X,0.003
CU,665828,657514,8,R,L,X,0.238
SI,657136,502083,9,R,R,X,0.159
SL,641343,670174,8,L,R,X,0.244
SL,671213,607074,4,L,L,X,0.109
FF,608701,607074,6,R,L,X,0.014
SL,592450,670174,8,R,R,X,0.04
FF,665828,676710,11,L,R,X,0.043
SL,657136,607074,13,R,L,X,0.563
FF,622569,607074,5,R,L,X,0.023
FF,641343,676710,9,L,R,X,0.05
FF,457759,607074,5,R,L,X,1.508
FF,650402,676710,2,R,R,X,0.584
FF,608701,607074,4,R,L,X,0.34
ST,665828,676710,11,L,R,X,0.017
SL,641343,676710,12,L,R,X,0.061
FF,608701,607074,1,R,L,X,0.564
FF,643396,676710,9,R,R,X,0.292
FC,650402,676710,9,R,R,X,0.807
CU,462101,641745,6,R,R,X,0.214
SL,658668,682010,9,R,R,X,0.827
FF,677951,682010,5,R,R,X,0.613
SL,672580,682010,8,R,R,X,0.046
SL,660162,663804,14,L,R,X,0.027
FF,673357,663804,5,R,R,X,0.033
SI,462101,663903,5,R,R,X,0.145
SI,657757,663903,11,L,R,X,0.169
SI,683734,663903,7,R,R,X,0.618
SI,658668,543766,4,R,R,X,0.337
SL,521692,656302,14,R,R,X,0.688
SL,660162,663903,5,L,R,X,0.728
SI,650391,663903,5,R,R,X,0.0
SL,673357,663903,6,R,R,X,0.113
FF,668472,656302,6,L,R,X,0.01
CH,643217,663903,7,L,R,X,0.145
SI,641313,663903,8,R,R,X,0.497
SL,462101,663903,8,R,R,X,0.163
FF,658668,656302,13,R,R,X,0.364
SL,669004,656302,4,L,R,X,0.112
KC,521692,656302,7,R,R,X,0.097
FF,677951,656302,4,R,R,X,0.757
SI,657757,663903,1,L,R,X,0.042
CH,660162,663903,7,L,R,X,0.048
FF,672580,656302,4,R,R,X,0.268
SL,650391,663903,8,R,R,X,0.003
SL,673357,663903,9,R,R,X,0.593
SI,643217,663903,5,L,R,X,0.347
SL,641313,663903,6,R,R,X,0.047
FF,658668,656302,4,R,R,X,0.015
SL,462101,663903,9,R,R,X,0.054
SL,657757,663903,1,L,R,X,0.163
SI,660162,663903,2,L,R,X,0.53
SL,650391,663903,14,R,R,X,0.162
SI,641313,663903,2,R,R,X,0.722
SL,521692,656302,5,R,R,X,0.265
SL,677951,656302,4,R,R,X,0.406
FF,672580,656302,6,R,R,X,0.111
CH,605137,642207,8,L,R,X,0.155
CH,650333,642207,13,L,R,X,0.047
CH,668930,666277,7,L,R,X,0.512
FF,642715,666277,4,R,R,X,0.593
CH,641658,571948,9,R,L,X,0.754
CH,467793,666277,13,L,R,X,0.159
SL,661388,666277,14,R,R,X,0.015
FF,621438,640462,4,R,L,X,0.299
ST,655316,640462,5,R,L,X,0.916
ST,650559,571948,7,R,L,X,0.151
SL,669394,642547,4,R,R,X,0.078
CH,686894,665795,1,R,R,X,0.073
CH,467793,665795,7,L,R,X,0.216
FF,650333,642547,1,L,R,X,0.054
FF,686217,665795,12,L,R,X,0.195
FF,621438,665795,4,R,R,X,0.033
CH,621563,642547,5,L,R,X,0.228
FF,660821,642547,4,L,R,X,0.259
FF,668930,665795,11,L,R,X,0.268
SL,665862,642547,13,L,R,X,0.052
CU,467793,665795,8,L,R,X,
SI,661388,665795,1,R,R,X,0.021
CH,605137,642547,4,L,R,X,0.065
CH,650333,642547,7,L,R,X,0.084
CH,686217,665795,4,L,R,X,0.237
FF,621438,665795,11,R,R,X,0.012
SL,650559,642547,14,R,R,X,0.291
SI,467793,608638,14,L,R,X,0.135
SI,661388,608638,8,R,R,X,0.346
SL,686217,608638,8,L,R,X,0.083
FF,665862,642547,2,L,R,X,0.253
FF,605137,642547,4,L,R,X,0.063
FF,650333,642547,2,L,R,X,1.687
ST,643565,664875,7,L,R,X,0.616
CH,666134,669713,13,L,R,X,0.048
ST,592178,669713,2,R,R,X,0.0
CU,673548,683232,5,R,R,X,0.003
CU,641355,683232,9,L,R,X,0.031
FF,664023,683232,3,L,R,X,0.623
SL,453568,694037,5,L,R,X,0.49
FF,686668,694037,11,R,R,X,0.78
SL,660707,694037,1,R,R,X,0.411
SI,663538,656234,2,R,R,X,0.018
SL,663611,656234,8,R,R,X,0.044
SL,666134,694037,14,L,R,X,0.198
FF,592178,694037,2,R,R,X,0.899
SL,543228,656234,5,R,R,X,0.124
SI,673548,656234,2,R,R,X,1.186
SI,621020,623167,5,R,R,X,0.971
SL,686668,502202,9,R,R,X,0.083
FF,676701,502202,4,R,R,X,0.11
FF,664023,623167,5,L,R,X,0.003
FF,663538,623167,1,R,R,X,0.908
FF,663611,623167,6,R,R,X,0.522
FF,660707,681432,7,R,L,X,0.433
FF,553869,681432,5,R,L,X,0.525
ST,666134,681432,13,L,L,X,0.18
FC,592178,665871,8,R,R,X,0.332
FC,453568,665871,3,L,R,X,0.013
SI,543228,623167,4,R,R,X,0.065
FF,673548,623167,5,R,R,X,0.932
SL,621020,623167,8,R,R,X,0.015
SI,641857,665871,7,L,R,X,0.235
SI,553869,665871,9,R,R,X,0.3
CH,641355,623167,4,L,R,X,0.146
FC,663538,623167,1,R,R,X,0.442
SI,592178,665871,4,R,R,X,0.815
SI,686668,665871,4,R,R,X,0.046
FC,676701,665871,6,R,R,X,0.453
FF,660707,665871,12,R,R,X,0.687
FC,543228,623167,14,R,R,X,0.395
SI,673548,623167,5,R,R,X,0.156
FC,621020,623167,2,R,R,X,1.164
SI,553869,665871,5,R,R,X,0.429
FC,666134,665871,8,L,R,X,1.787
SI,453568,665871,9,L,R,X,0.532
FF,641355,623167,4,L,R,X,0.925
FC,663538,623167,12,R,R,X,0.154
FF,502110,448179,2,R,L,X,0.893
CU,669257,448179,4,R,L,X,0.112
SL,518692,448179,14,L,L,X,0.771
CH,592518,669165,13,R,R,X,0.11
CH,665742,669165,11,L,R,X,0.107
CH,665487,669165,5,R,R,X,0.136
FF,571771,448179,1,R,L,X,0.179
SL,681546,448179,5,L,L,X,0.032
CU,621035,448179,5,R,L,X,0.248
FF,571970,663321,2,L,R,X,0.118
SI,595777,458681,5,L,R,X,0.077
SL,571771,663321,9,R,R,X,0.28
